"time","value","Date"
"08:46:09","70","2019-05-14"
"08:46:19","77","2019-05-14"
"08:46:24","120","2019-05-14"
"08:46:29","115","2019-05-14"
"08:46:39","114","2019-05-14"
"08:46:44","115","2019-05-14"
"08:46:49","118","2019-05-14"
"08:46:59","116","2019-05-14"
"08:59:33","70","2019-05-14"
"09:01:48","70","2019-05-14"
"09:02:16","70","2019-05-14"
"09:02:43","70","2019-05-14"
"09:02:53","78","2019-05-14"
"09:02:58","78","2019-05-14"
"09:03:03","76","2019-05-14"
"09:03:08","78","2019-05-14"
"09:03:23","86","2019-05-14"
"09:03:28","89","2019-05-14"
"09:03:43","91","2019-05-14"
"09:03:48","85","2019-05-14"
"09:03:53","79","2019-05-14"
"09:03:58","67","2019-05-14"
"09:04:03","66","2019-05-14"
"09:04:08","65","2019-05-14"
"09:04:13","63","2019-05-14"
"09:04:23","61","2019-05-14"
"09:04:28","61","2019-05-14"
"09:04:43","64","2019-05-14"
"09:04:48","66","2019-05-14"
"09:04:53","67","2019-05-14"
"09:04:58","67","2019-05-14"
"09:05:08","68","2019-05-14"
"09:05:23","68","2019-05-14"
"09:05:38","68","2019-05-14"
"09:05:53","68","2019-05-14"
"09:05:55","68","2019-05-14"
"09:06:10","68","2019-05-14"
"09:06:25","68","2019-05-14"
"09:06:30","71","2019-05-14"
"09:06:35","70","2019-05-14"
"09:06:40","65","2019-05-14"
"09:06:45","64","2019-05-14"
"09:06:50","62","2019-05-14"
"09:06:55","61","2019-05-14"
"09:07:00","60","2019-05-14"
"09:07:05","61","2019-05-14"
"09:07:10","62","2019-05-14"
"09:07:15","62","2019-05-14"
"09:07:20","63","2019-05-14"
"09:07:25","62","2019-05-14"
"09:07:30","63","2019-05-14"
"09:07:35","66","2019-05-14"
"09:07:45","65","2019-05-14"
"09:07:50","65","2019-05-14"
"09:08:00","64","2019-05-14"
"09:08:05","65","2019-05-14"
"09:08:10","64","2019-05-14"
"09:08:25","65","2019-05-14"
"09:08:40","65","2019-05-14"
"09:08:45","66","2019-05-14"
"09:09:00","63","2019-05-14"
"09:09:05","60","2019-05-14"
"09:09:11","60","2019-05-14"
"09:09:21","61","2019-05-14"
"09:09:26","62","2019-05-14"
"09:17:48","70","2019-05-14"
"09:18:03","70","2019-05-14"
"09:18:45","70","2019-05-14"
"09:44:30","70","2019-05-14"
"09:47:25","70","2019-05-14"
"10:15:30","70","2019-05-14"
"10:15:45","71","2019-05-14"
"10:15:50","85","2019-05-14"
"10:16:00","91","2019-05-14"
"10:16:15","91","2019-05-14"
"10:16:30","91","2019-05-14"
"10:16:45","91","2019-05-14"
"10:16:50","92","2019-05-14"
"10:16:55","93","2019-05-14"
"10:17:05","92","2019-05-14"
"10:17:10","94","2019-05-14"
"10:17:15","88","2019-05-14"
"10:17:25","90","2019-05-14"
"10:17:40","90","2019-05-14"
"10:17:55","90","2019-05-14"
"10:18:10","90","2019-05-14"
"10:18:20","96","2019-05-14"
"10:18:35","96","2019-05-14"
"10:18:50","96","2019-05-14"
"10:19:00","91","2019-05-14"
"10:19:15","91","2019-05-14"
"10:19:20","90","2019-05-14"
"10:19:25","87","2019-05-14"
"10:19:40","87","2019-05-14"
"10:19:55","87","2019-05-14"
"10:20:10","85","2019-05-14"
"10:20:13","85","2019-05-14"
"10:20:18","87","2019-05-14"
"10:20:23","91","2019-05-14"
"10:20:38","93","2019-05-14"
"10:20:48","92","2019-05-14"
"10:20:53","94","2019-05-14"
"10:21:03","91","2019-05-14"
"10:21:08","90","2019-05-14"
"10:21:13","89","2019-05-14"
"10:21:28","89","2019-05-14"
"10:21:43","89","2019-05-14"
"10:21:48","89","2019-05-14"
"10:21:53","85","2019-05-14"
"10:21:58","84","2019-05-14"
"10:22:13","84","2019-05-14"
"10:22:18","85","2019-05-14"
"10:22:23","86","2019-05-14"
"10:22:33","86","2019-05-14"
"10:22:43","86","2019-05-14"
"10:22:58","86","2019-05-14"
"10:23:03","84","2019-05-14"
"10:23:13","83","2019-05-14"
"10:23:28","83","2019-05-14"
"10:23:38","85","2019-05-14"
"10:23:43","86","2019-05-14"
"10:23:58","88","2019-05-14"
"10:24:03","93","2019-05-14"
"10:24:10","94","2019-05-14"
"10:24:15","93","2019-05-14"
"10:24:30","94","2019-05-14"
"10:24:40","93","2019-05-14"
"10:24:55","93","2019-05-14"
"10:25:05","94","2019-05-14"
"10:25:10","95","2019-05-14"
"10:25:20","94","2019-05-14"
"10:25:30","91","2019-05-14"
"10:25:35","90","2019-05-14"
"10:25:45","91","2019-05-14"
"10:25:50","92","2019-05-14"
"10:25:55","93","2019-05-14"
"10:26:05","94","2019-05-14"
"10:26:10","92","2019-05-14"
"10:26:15","94","2019-05-14"
"10:26:30","94","2019-05-14"
"10:26:40","95","2019-05-14"
"10:26:55","95","2019-05-14"
"10:27:00","94","2019-05-14"
"10:27:05","94","2019-05-14"
"10:27:10","95","2019-05-14"
"10:27:25","95","2019-05-14"
"10:27:40","95","2019-05-14"
"10:27:55","95","2019-05-14"
"10:28:00","94","2019-05-14"
"10:28:15","94","2019-05-14"
"10:28:17","94","2019-05-14"
"10:28:22","91","2019-05-14"
"10:28:27","88","2019-05-14"
"10:28:42","88","2019-05-14"
"10:28:47","87","2019-05-14"
"10:29:02","87","2019-05-14"
"10:29:17","87","2019-05-14"
"10:29:32","87","2019-05-14"
"10:29:47","88","2019-05-14"
"10:29:52","87","2019-05-14"
"10:29:57","86","2019-05-14"
"10:30:02","87","2019-05-14"
"10:30:07","88","2019-05-14"
"10:30:12","89","2019-05-14"
"10:30:17","88","2019-05-14"
"10:30:32","88","2019-05-14"
"10:30:47","88","2019-05-14"
"10:31:02","88","2019-05-14"
"10:31:17","88","2019-05-14"
"10:31:32","89","2019-05-14"
"10:31:42","89","2019-05-14"
"10:31:47","88","2019-05-14"
"10:32:02","88","2019-05-14"
"10:32:17","88","2019-05-14"
"10:32:22","87","2019-05-14"
"10:32:27","87","2019-05-14"
"10:32:42","87","2019-05-14"
"10:32:44","87","2019-05-14"
"10:32:54","86","2019-05-14"
"10:32:59","85","2019-05-14"
"10:33:04","82","2019-05-14"
"10:33:19","82","2019-05-14"
"10:33:24","80","2019-05-14"
"10:33:39","80","2019-05-14"
"10:33:49","81","2019-05-14"
"10:34:04","81","2019-05-14"
"10:34:19","81","2019-05-14"
"10:34:24","82","2019-05-14"
"14:54:42","70","2019-05-14"
"14:54:52","73","2019-05-14"
"14:54:57","72","2019-05-14"
"14:55:02","81","2019-05-14"
"14:55:07","100","2019-05-14"
"14:55:12","103","2019-05-14"
"14:55:22","107","2019-05-14"
"14:55:27","107","2019-05-14"
"14:58:16","70","2019-05-14"
"14:58:41","70","2019-05-14"
"14:58:51","61","2019-05-14"
"14:58:56","62","2019-05-14"
"15:01:11","70","2019-05-14"
"15:01:49","70","2019-05-14"
"15:01:57","70","2019-05-14"
"15:02:07","73","2019-05-14"
"15:02:12","77","2019-05-14"
"15:02:27","77","2019-05-14"
"15:02:33","77","2019-05-14"
"15:02:43","83","2019-05-14"
"15:02:48","87","2019-05-14"
"15:02:53","91","2019-05-14"
"15:02:58","94","2019-05-14"
